,model_name,threshold_pw,iou_threshold,component_precision_joint_mean,component_precision_joint_std,component_recall_joint_mean,component_recall_joint_std,dice_joint_mean,dice_joint_std,pk
13,32s,0.5,0.5,0.874463494265084,0.08704510168400546,0.9319720190930508,0.06651796998480033,0.8977313529817166,0.05377494629905447,32s0.50.5
14,32s,0.6,0.5,0.9027830339836134,0.07952529030908764,0.9068865475847853,0.07309450896580963,0.9005130941775668,0.0514349281525985,32s0.60.5
15,32s,0.7,0.5,0.9283117529381202,0.07061119022218061,0.8686281020574096,0.09030632460309516,0.8926070117165641,0.056631822784875704,32s0.70.5
16,32s,0.8,0.5,0.9514421568221259,0.058623072088914256,0.8211224753733969,0.0992411133525884,0.876688736910547,0.06207071286890023,32s0.80.5
17,32s,0.9,0.5,0.9772795876040598,0.03583897708316687,0.7485106131172242,0.10414508787410244,0.8430133384677763,0.06830364385222372,32s0.90.5
18,8s,0.1,0.5,0.7875968098431486,0.09081059169585406,0.9761693975964539,0.06811644226618328,0.8663254437151304,0.06046699521169223,8s0.10.5
19,8s,0.2,0.5,0.834543023645685,0.09543883120304554,0.9669249912158093,0.06249862954346042,0.8906743752707471,0.06100673031936731,8s0.20.5
20,8s,0.3,0.5,0.8738921798921163,0.08484288652484134,0.9497103015687183,0.07814379593126797,0.905054316926004,0.05913419172364058,8s0.30.5
21,8s,0.4,0.5,0.9008690570844549,0.07893738384301857,0.9375622271567309,0.06930681638582335,0.9147261603640573,0.051884410870290755,8s0.40.5
22,8s,0.5,0.5,0.9235400534493581,0.0729230105976139,0.914863205968006,0.08109484431924001,0.9146770171404928,0.05337673198032648,8s0.50.5
23,8s,0.6,0.5,0.942691988940408,0.06602371022899603,0.8890138627465245,0.09067443003620969,0.9101692469428587,0.05553397502878969,8s0.60.5
24,8s,0.7,0.5,0.9589527541495384,0.058652638503998634,0.8574467961040357,0.0986156375711334,0.9000973816715515,0.0587962881125835,8s0.70.5
25,8s,0.8,0.5,0.9697932585225036,0.06200729054583609,0.816235566988062,0.10559065664507354,0.8803602000197502,0.0657949121293097,8s0.80.5
26,8s,0.9,0.5,0.9817419476727317,0.05120101811488568,0.7514356705810802,0.11296802722967053,0.8447494297807248,0.07235804777438846,8s0.90.5
27,sw_1000px,4.0,0.5,0.6557634872393089,0.05086014163526842,0.7403597804135759,0.060078209330222114,0.6931773974732828,0.026509106620343042,sw_1000px4.00.5
28,sw_100px,1.0,0.5,0.831734270394105,0.08985331026508739,0.8458399803634109,0.09255177500116124,0.8337707567566954,0.00017643288028618248,sw_100px1.00.5
29,sw_100px,2.0,0.5,0.9023339401242574,0.05251530613724786,0.7308944778242705,0.10917907058337042,0.8015878155627104,0.04448017231575329,sw_100px2.00.5
30,sw_100px,3.0,0.5,0.7443788907859453,0.13765038793548498,0.718237664902688,0.10891521445531442,0.7154125005327838,0.03445205412735771,sw_100px3.00.5
31,sw_100px,4.0,0.5,0.5951078062670642,0.04588773448388495,0.8553874705971212,0.16654753560893543,0.6955998593408491,0.02467636449967207,sw_100px4.00.5
32,sw_200px,1.0,0.5,0.6599237308501835,0.12582679847950312,0.8148016255897377,0.005820849548675094,0.726181456824825,0.0794251702836094,sw_200px1.00.5
33,sw_200px,2.0,0.5,0.5275372895036543,,0.9639559551469844,,0.6818974388291791,,sw_200px2.00.5
34,sw_200px,3.0,0.5,0.6509960827578636,0.08327164692894361,0.8662566272601131,0.10045841375769898,0.7356679140045378,0.025274783913737685,sw_200px3.00.5
35,sw_200px,4.0,0.5,0.7216989240099687,0.05987788273409058,0.7511919061747399,0.08325189304193055,0.7331563887515186,0.04998860280541891,sw_200px4.00.5
36,sw_300px,1.0,0.5,0.7171146174142211,0.10284622348737268,0.817011579099628,0.143335000340902,0.749157791161917,0.031096651392655328,sw_300px1.00.5
37,sw_300px,2.0,0.5,0.7479776166253244,0.13588036578331328,0.7090404963589481,0.11092734407645519,0.7124928625725694,0.050133087118105955,sw_300px2.00.5
38,sw_300px,3.0,0.5,0.5624625499840086,0.05581248883950334,0.9528732717797987,0.03803074437607353,0.7070842316036874,0.05463549727653535,sw_300px3.00.5
39,sw_300px,4.0,0.5,0.591954354998246,0.030529601078756054,0.8552169733686829,0.04976897411504027,0.6983576840679838,0.019775437674863366,sw_300px4.00.5
40,sw_400px,1.0,0.5,0.6777447692897213,0.16601727584979117,0.8656090542365729,0.12985498847691018,0.7387681580854691,0.04929550783778565,sw_400px1.00.5
41,sw_400px,2.0,0.5,0.7261206712025906,0.12626694121692117,0.7583966448819318,0.12219129427219025,0.7265270384230235,0.05235527916392656,sw_400px2.00.5
42,sw_400px,3.0,0.5,0.8646424448561025,0.0821051751817447,0.662420534759293,0.07393644673315995,0.7453757958047625,0.025003058661660776,sw_400px3.00.5
43,sw_400px,4.0,0.5,0.5737851629761015,0.022596670057594845,0.894133643457665,0.029463550122170036,0.6986699155898197,0.018261493936354404,sw_400px4.00.5
44,sw_500px,2.0,0.5,0.6304238783765376,0.12654982184036054,0.8504684800032256,0.13688343322765878,0.7071495365040134,0.03734162195357068,sw_500px2.00.5
45,sw_500px,3.0,0.5,0.7732910513236365,0.155501410776028,0.7296355040233307,0.1388542775556152,0.7283506849991058,0.05547902440026,sw_500px3.00.5
46,sw_500px,4.0,0.5,0.9408239652772924,,0.701129012398299,,0.8034809602761323,,sw_500px4.00.5
47,sw_600px,2.0,0.5,0.5426542416112354,,0.97128216785535,,0.6962913169830793,,sw_600px2.00.5
48,sw_600px,3.0,0.5,0.7205566049576855,0.12752088719191806,0.81985594429203,0.087274809546784,0.756557348842069,0.049855694075904754,sw_600px3.00.5
49,sw_600px,4.0,0.5,0.7065956053101144,0.10376736964365404,0.7379388206253602,0.10868643991114682,0.7103536543716384,0.031209497887823633,sw_600px4.00.5
50,sw_700px,3.0,0.5,0.6395279409091282,0.06014107966915411,0.8509643515247227,0.07746557648866252,0.7264714420273766,0.03804554436617824,sw_700px3.00.5
51,sw_700px,4.0,0.5,0.6943363644853594,0.06094190416371912,0.6765791996757168,0.04164629401806566,0.6830577708666441,0.016619590409312483,sw_700px4.00.5
52,sw_800px,3.0,0.5,0.6379891947521993,0.09338736002999602,0.87998265851811,0.0470211155115097,0.73566266280233,0.05085924713802429,sw_800px3.00.5
53,sw_800px,4.0,0.5,0.7104231838999715,0.06678483742614154,0.8071408141019887,0.12396858972135635,0.747031071688615,0.0397738906489901,sw_800px4.00.5
54,sw_900px,3.0,0.5,0.7335679961328961,0.09641399185239476,0.7798286553402082,0.15910673888560944,0.7443878750284,0.04449067167672551,sw_900px3.00.5
55,sw_900px,4.0,0.5,0.755339701209848,0.11653844771177779,0.7352056812658765,0.11954057964732136,0.7307248360773466,0.03143592016258341,sw_900px4.00.5
