model_name,mask_name,mask_x,mask_y,component_x,component_y,pixel_distance,norm_distance,prediction_area,gt_area,component_area,component_relative_area,component_intersection,component_union,component_iou,component_pw_recall,component_pw_precision,metric,threshold_pw,dice,fpr,dice_joint,component_precision_joint,component_recall_joint,relative_area_to_gt
8s,0.10768.jpg,592.5,468.0,382.94917647058816,949.9101176470588,525.4987241967926,4.791840173034718,7071.0,4392,2125.0,0.3005232640362042,0.0,6517.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.31277597880482777,0.0,0.0,0.0,0.4838342440801457
8s,0.10768.jpg,592.5,468.0,348.5,980.0,567.1684053259668,5.171811508526576,7071.0,4392,2.0,0.000282845424975251,0.0,4394.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00034888791975577847,0.0,0.0,0.0,0.0004553734061930783
8s,0.10768.jpg,592.5,468.0,340.3333333333333,989.1666666666664,578.9669439805888,5.27939828068237,7071.0,4392,6.0,0.0008485362749257533,0.0,4398.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00104629871828407,0.0,0.0,0.0,0.001366120218579235
8s,0.10768.jpg,592.5,468.0,339.0,996.0,585.7015024737433,5.340808378270093,7071.0,4392,1.0,0.0001414227124876255,0.0,4393.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00017445917655268666,0.0,0.0,0.0,0.00022768670309653916
8s,0.10768.jpg,592.5,468.0,347.0,1012.0,596.8301684734107,5.442286814570776,7071.0,4392,1.0,0.0001414227124876255,0.0,4393.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00017445917655268666,0.0,0.0,0.0,0.00022768670309653916
8s,0.10768.jpg,592.5,468.0,360.7243589743589,1019.9551282051282,598.6438100613639,5.4588247816874835,7071.0,4392,156.0,0.02206194314806958,0.0,4548.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.026852569067906017,0.0,0.0,0.0,0.03551912568306011
8s,0.10768.jpg,592.5,468.0,591.7071129707113,466.21464435146436,1.9535006099236976,0.017813292915197777,7071.0,4392,4780.0,0.67600056569085,4247.0,4925.0,0.8623350253807106,0.9669854280510018,0.8884937238493724,CORRECT_DETECTION,0.1,0.9260793720017444,,0.9260793720017444,0.8884937238493724,0.9669854280510018,1.0883424408014573
8s,0.10068.jpg,543.5,431.0,544.4337512707557,429.8898678414097,1.4506153332893834,0.02205327364798049,2951.0,2283,2951.0,1.0,2283.0,2951.0,0.7736360555743815,1.0,0.7736360555743815,CORRECT_DETECTION,0.1,0.8723729461215132,,0.8723729461215132,0.7736360555743815,1.0,1.2925974594831362
8s,0.10191.jpg,518.0,555.5,516.9853190287973,558.3478260869565,3.023192169689312,0.041264835649494916,3542.0,2612,3542.0,1.0,2609.0,3545.0,0.735966149506347,0.9988514548238896,0.7365894974590627,CORRECT_DETECTION,0.1,0.8479038024049399,,0.8479038024049399,0.7365894974590627,0.9988514548238896,1.3560490045941807
8s,0.10527.jpg,439.0,562.0,609.4494430162813,334.060411311054,284.62162376784784,0.9850691722859048,87885.0,75869,2334.0,0.026557433009045908,0.0,78203.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.028105582582727228,0.0,0.0,0.0,0.03076355296629717
8s,0.10527.jpg,439.0,562.0,674.376597557512,493.82504970178917,245.0509467966089,0.8481159306634579,87885.0,75869,7042.0,0.08012743926722421,0.0,82911.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.08246094756317478,0.0,0.0,0.0,0.09281788345701143
8s,0.10527.jpg,439.0,562.0,703.5,468.5,280.53965851551186,0.9709415804354058,87885.0,75869,2.0,2.275701200432383e-05,0.0,75871.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,2.4426585896089304e-05,0.0,0.0,0.0,2.636122790599586e-05
8s,0.10527.jpg,439.0,562.0,707.0,470.0,283.35137197479736,0.9806728588020232,87885.0,75869,1.0,1.1378506002161915e-05,0.0,75870.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,1.221336753076242e-05,0.0,0.0,0.0,1.318061395299793e-05
8s,0.10527.jpg,439.0,562.0,704.0,472.5,279.7056488525035,0.9680550913572316,87885.0,75869,2.0,2.275701200432383e-05,0.0,75871.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,2.4426585896089304e-05,0.0,0.0,0.0,2.636122790599586e-05
8s,0.10527.jpg,439.0,562.0,714.0769230769231,494.42307692307685,283.25598694822287,0.9803427333254964,87885.0,75869,26.0,0.0002958411560562098,0.0,75895.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00031749908413725733,0.0,0.0,0.0,0.0003426959627779462
8s,0.10527.jpg,439.0,562.0,699.0,518.0,263.69679558159214,0.9126488027131692,87885.0,75869,1.0,1.1378506002161915e-05,0.0,75870.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,1.221336753076242e-05,0.0,0.0,0.0,1.318061395299793e-05
8s,0.10527.jpg,439.0,562.0,623.5,692.0,225.69946832015358,0.7811408897900393,87885.0,75869,2.0,2.275701200432383e-05,0.0,75871.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,2.4426585896089304e-05,0.0,0.0,0.0,2.636122790599586e-05
8s,0.10527.jpg,439.0,562.0,626.6,692.8,228.69717969402245,0.7915159028432206,87885.0,75869,5.0,5.6892530010809584e-05,0.0,75874.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,6.106534602678326e-05,0.0,0.0,0.0,6.590306976498965e-05
8s,0.10527.jpg,439.0,562.0,609.4137326413241,799.0782017113199,291.9707416838578,1.0105043075603075,87885.0,75869,14258.0,0.1622347385788246,0.0,90127.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.16019144776756622,0.0,0.0,0.0,0.1879291937418445
8s,0.10527.jpg,439.0,562.0,624.0,712.0,238.17010727629108,0.8243014966047154,87885.0,75869,1.0,1.1378506002161915e-05,0.0,75870.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,1.221336753076242e-05,0.0,0.0,0.0,1.318061395299793e-05
8s,0.10527.jpg,439.0,562.0,421.68270533808936,547.0301562329631,22.890716826192477,0.079224266865263,87885.0,75869,64199.0,0.7304887068327929,60495.0,79573.0,0.7602453093385948,0.7973612410866098,0.9423043972647548,SPLIT,0.1,0.8637947282748379,,0.8638920616790405,0.9423151796421174,0.7975194084540458,0.8461822351685141
8s,0.10527.jpg,439.0,562.0,507.5,700.0,154.06573272470422,0.5332181083210092,87885.0,75869,2.0,2.275701200432383e-05,2.0,75869.0,2.636122790599585e-05,2.636122790599585e-05,1.0,SPLIT,0.1,5.2721066019954917e-05,,0.8638920616790405,0.9423151796421174,0.7975194084540458,2.636122790599586e-05
8s,0.10527.jpg,439.0,562.0,425.0,715.5,154.13711428465245,0.5334651583281163,87885.0,75869,10.0,0.00011378506002161917,10.0,75869.0,0.0001318061395299793,0.0001318061395299793,1.0,SPLIT,0.1,0.00026357753792221824,,0.8638920616790405,0.9423151796421174,0.7975194084540458,0.0001318061395299793
8s,0.10605.jpg,547.5,686.0,395.0,692.0,152.617987144373,0.4118951357589613,52541.0,58832,1.0,1.9032755371995205e-05,0.0,58833.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,1.7957512525364987e-05,0.0,0.0,0.0,1.6997552352461245e-05
8s,0.10605.jpg,547.5,686.0,541.5860296916635,657.6071945184622,29.002180054615394,0.07827292912467222,52541.0,58832,52540.0,0.9999809672446279,46731.0,64641.0,0.7229312665336242,0.7943126189828664,0.8894366197183099,CORRECT_DETECTION,0.1,0.8391875875444457,,0.8391875875444457,0.8894366197183099,0.7943126189828664,0.8930514005983139
8s,0.10052.jpg,455.5,541.5,454.40065146579803,542.9234527687296,1.7985508011885414,0.023168354786302785,3684.0,3166,3684.0,1.0,3111.0,3739.0,0.8320406525809041,0.9826279216677196,0.8444625407166124,CORRECT_DETECTION,0.1,0.9083211678832116,,0.9083211678832116,0.8444625407166124,0.9826279216677196,1.1636133922931144
8s,0.10103.jpg,532.0,487.0,1023.0,346.0,510.8443990101096,7.026575951635195,4008.0,2564,13.0,0.003243512974051896,0.0,2577.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.003948367501898253,0.0,0.0,0.0,0.005070202808112325
8s,0.10103.jpg,532.0,487.0,1023.0,362.5,506.53849804333726,6.967349031966753,4008.0,2564,6.0,0.0014970059880239526,0.0,2570.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0018242626938279112,0.0,0.0,0.0,0.00234009360374415
8s,0.10103.jpg,532.0,487.0,530.6836299824517,491.937829029832,5.110282335737604,0.07029104564117844,4008.0,2564,3989.0,0.9952594810379242,2564.0,3989.0,0.6427676109300576,1.0,0.6427676109300576,CORRECT_DETECTION,0.1,0.7825423470166336,,0.7825423470166336,0.6427676109300576,1.0,1.5557722308892357
