,model_name,threshold_pw,iou_threshold,component_precision_joint_mean,component_precision_joint_std,component_recall_joint_mean,component_recall_joint_std,dice_joint_mean,dice_joint_std,pk
37,sw_200px,3.0,0.5,0.4037671707842025,0.2986245904971409,0.5309663745383784,0.38743149494275647,0.287521449214271,0.19047380752577442,sw_200px3.00.5
38,sw_200px,4.0,0.5,0.44506777557099986,0.3190488990771333,0.4013487543958115,0.3376468609611724,0.275872062098647,0.19863659193924746,sw_200px4.00.5
39,sw_300px,1.0,0.5,0.13057409747068296,0.119199423622804,0.9438616642177191,0.15301783373514583,0.20137130360888325,0.1292335760169166,sw_300px1.00.5
40,sw_300px,2.0,0.5,0.20337295652808765,0.2064932347183295,0.8194904563025318,0.3132241608750382,0.24294488658915694,0.1299146280883576,sw_300px2.00.5
41,sw_300px,3.0,0.5,0.3313910914145662,0.27326206020337607,0.6658326515985553,0.35715753826773977,0.30937021235624224,0.16327630374205152,sw_300px3.00.5
42,sw_300px,4.0,0.5,0.3656015879246753,0.27997564608645853,0.504587445906399,0.3388241773212971,0.2934997273206683,0.16930097549729273,sw_300px4.00.5
43,sw_400px,1.0,0.5,0.09770345265292978,0.10203533448940821,0.9612709765284992,0.14913711696298798,0.1603623126042135,0.1308531269785329,sw_400px1.00.5
44,sw_400px,2.0,0.5,0.15614816875659215,0.16433658517839897,0.8932111980353915,0.23120155387436847,0.2129914817625249,0.11834269102352045,sw_400px2.00.5
45,sw_400px,3.0,0.5,0.25760444664120163,0.19327531400137005,0.768142285743941,0.2833127115382071,0.3138841240382411,0.14095991184939158,sw_400px3.00.5
46,sw_400px,4.0,0.5,0.32474160895655707,0.25959522313192407,0.5003182541445363,0.3260359611548085,0.30052629812256554,0.17319077424784968,sw_400px4.00.5
47,sw_500px,1.0,0.5,0.08422693710836264,0.09618583590934077,0.9806808509528633,0.09631439479744422,0.14196571363102942,0.137652363677511,sw_500px1.00.5
48,sw_500px,2.0,0.5,0.11917618931244284,0.10809834729290667,0.9364585783576931,0.16662830982496693,0.1906558298495832,0.12684415240154645,sw_500px2.00.5
49,sw_500px,3.0,0.5,0.20074689520697173,0.16327950990273912,0.7578266777622102,0.3129578084077718,0.27001370810445746,0.14746423865732253,sw_500px3.00.5
50,sw_500px,4.0,0.5,0.27901849113085897,0.22318465183489453,0.6020324409006167,0.3112568932566654,0.31265153456591294,0.16466730094809753,sw_500px4.00.5
51,sw_600px,1.0,0.5,0.06850903425375526,0.07821978185512848,0.9760109182463428,0.10665930750082546,0.11887691544985311,0.11937963835666789,sw_600px1.00.5
52,sw_600px,2.0,0.5,0.10159722659994612,0.10045815345975809,0.9157658030774964,0.21036896574923986,0.166126068921795,0.13562889661745828,sw_600px2.00.5
53,sw_600px,3.0,0.5,0.17551286013419967,0.13369532108538848,0.7759505687480115,0.30312622413409207,0.2577130806077485,0.15267646543415095,sw_600px3.00.5
54,sw_600px,4.0,0.5,0.23606916611518233,0.17494701464845958,0.6086838908627826,0.3128886944045592,0.2969226115544452,0.1645019906632112,sw_600px4.00.5
55,sw_700px,1.0,0.5,0.055468244464848625,0.06499918841877696,0.9772776848493367,0.11827873784642602,0.09837181296354416,0.10325106692353492,sw_700px1.00.5
56,sw_700px,2.0,0.5,0.09318836142009862,0.09784630272345372,0.9352251358082802,0.18756444762650942,0.15451829608093554,0.1365723386433449,sw_700px2.00.5
57,sw_700px,3.0,0.5,0.1583480657220999,0.1403926974338399,0.8211968525649657,0.26093957343066376,0.22886232931830233,0.13158475907185452,sw_700px3.00.5
58,sw_700px,4.0,0.5,0.23161062014765213,0.19669919462940524,0.6527654516263367,0.3056609181789028,0.2898559101088446,0.15682595882786,sw_700px4.00.5
59,sw_800px,1.0,0.5,0.05047816442323479,0.0661339586128704,0.9686067535823175,0.10897710054623472,0.08914094916609863,0.10339043456638397,sw_800px1.00.5
60,sw_800px,2.0,0.5,0.08228679814258008,0.09401536376227408,0.9414987983614141,0.15780826877492607,0.1383532744474295,0.13210429568033874,sw_800px2.00.5
61,sw_800px,3.0,0.5,0.14531025988823906,0.1260915569763872,0.7896637834120035,0.29985696834064096,0.21654259815795707,0.15286920118349462,sw_800px3.00.5
62,sw_800px,4.0,0.5,0.19429081110398128,0.16376012387184735,0.6403402014615845,0.31176139165199585,0.25375506034867534,0.1584423090096012,sw_800px4.00.5
63,sw_900px,1.0,0.5,0.0416392252485081,0.05664060805460567,0.9380347092110292,0.189665245133264,0.07468235737700298,0.09224697852097918,sw_900px1.00.5
64,sw_900px,2.0,0.5,0.0695976656954417,0.08032184683387703,0.9130070924562029,0.2167359875871706,0.11992905968676705,0.12064853329182407,sw_900px2.00.5
65,sw_900px,3.0,0.5,0.13135244113882866,0.11237356309499608,0.8009924362861376,0.29953291649420577,0.2084216010957548,0.1471770761830868,sw_900px3.00.5
66,sw_900px,4.0,0.5,0.18132708303315692,0.15278769130637537,0.6656490194779189,0.3212398206055677,0.25403122141659434,0.15383937744588239,sw_900px4.00.5
